NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Coward's Chains,0.06,10,"+(15-20) to all Attributes (), (5-10)% increased Movement Speed (), Damage of Enemies Hitting you is Unlucky while you are Cursed with Vulnerability (), You count as on Full Life while you are Cursed with Vulnerability (), You are Cursed with Vulnerability ()"
Hyperboreus,0.06,10,"+(31-35) to Strength and Intelligence (), +(31-35) to Dexterity and Intelligence (), +(31-35) to Strength and Dexterity (), +(30-40)% to Cold Resistance (), (14-16)% increased Trap Throwing Speed (), Chill nearby Enemies when you Focus, causing 30% reduced Action Speed (), Your Critical Strike Chance is Lucky while Focused (), +(16-20)% to Cold and Chaos Resistances (), +(16-20)% to Fire and Chaos Resistances (), Regenerate 200 Energy Shield per second while a Rare or Unique Enemy is Nearby (), Focus has (30-58)% increased Cooldown Recovery Rate (), (50-70)% increased Damage with Hits and Ailments against Chilled Enemies (), +(16-20)% to Lightning and Chaos Resistances ()"
Replica Atziri's Foible,0.06,10,"+(100-120) to maximum Life (), (20-30)% increased Life Regeneration rate (), Items and Gems have 25% reduced Attribute Requirements ()"
Replica Karui Ward,0.06,10,"+(20-30) to Intelligence (), +100 to Accuracy Rating (), 10% increased Movement Speed (), 30% increased Area of Effect (), 30% increased Area Damage ()"
Replica Emberwake,0.06,10,"(30-48)% increased Fire Damage (), (5-10)% increased Cast Speed (), 90% reduced Ignite Duration on Enemies (), 10% chance to Ignite (), Ignites you inflict deal Damage (35-54)% faster ()"
The Eternal Struggle,0.06,10,"+(20-50) to Strength (), +(20-56) to Dexterity (), +(20-50) to Intelligence (), (10-15)% increased Global Defences (), Critical Strikes inflict Malignant Madness if The Eater of Worlds is dominant (), Kill Enemies that have 15% or lower Life on Hit if The Searing Exarch is dominant ()"
Replica Dragonfang's Flight,0.06,10,"+3 to Level of all Siphoning Trap Gems (), +3 to Level of all Frostbolt Gems (), +3 to Level of all Absolution Gems (), +3 to Level of all Wave of Conviction Gems (), +3 to Level of all Artillery Ballista Gems (), +3 to Level of all Ancestral Cry Gems (), +3 to Level of all Flesh and Stone Gems (), +3 to Level of all Seismic Cry Gems (), +3 to Level of all Poacher's Mark Gems (), +3 to Level of all Assassin's Mark Gems (), +3 to Level of all Summon Flame Golem Gems (), +3 to Level of all Despair Gems (), +3 to Level of all Contagion Gems (), +3 to Level of all Tornado Gems (), +3 to Level of all Explosive Trap Gems (), +3 to Level of all Battlemage's Cry Gems (), +3 to Level of all Dash Gems (), +3 to Level of all Purifying Flame Gems (), +3 to Level of all Flammability Gems (), +3 to Level of all Static Strike Gems (), +3 to Level of all Animate Weapon Gems (), +3 to Level of all Seismic Trap Gems (), +3 to Level of all Divine Ire Gems (), +3 to Level of all Frost Wall Gems (), +3 to Level of all Withering Step Gems (), +3 to Level of all Summon Carrion Golem Gems (), +3 to Level of all Blink Arrow Gems (), +3 to Level of all Automation Gems (), +3 to Level of all Exsanguinate Gems (), +3 to Level of all Galvanic Field Gems (), +3 to Level of all Puncture Gems (), +3 to Level of all Smoke Mine Gems (), +3 to Level of all Poisonous Concoction Gems (), +3 to Level of all Conversion Trap Gems (), +3 to Level of all Dominating Blow Gems (), +3 to Level of all Flicker Strike Gems (), +3 to Level of all Toxic Rain Gems (), +3 to Level of all Zealotry Gems (), +3 to Level of all Flame Dash Gems (), +3 to Level of all Lightning Tendrils Gems (), +3 to Level of all Charged Dash Gems (), +3 to Level of all Flamethrower Trap Gems (), +3 to Level of all Energy Blade Gems (), +3 to Level of all Detonate Dead Gems (), +3 to Level of all Bane Gems (), +3 to Level of all Storm Burst Gems (), +3 to Level of all Arc Gems (), +3 to Level of all Ensnaring Arrow Gems (), +3 to Level of all Summon Holy Relic Gems (), +3 to Level of all Purity of Ice Gems (), +3 to Level of all Scorching Ray Gems (), +3 to Level of all Dark Pact Gems (), +3 to Level of all Plague Bearer Gems (), +3 to Level of all Rallying Cry Gems (), +3 to Level of all Cyclone Gems (), +3 to Level of all Glacial Shield Swipe Gems (), +3 to Level of all Spellslinger Gems (), +3 to Level of all Raise Zombie Gems (), +3 to Level of all Bladefall Gems (), +3 to Level of all Shield Charge Gems (), +3 to Level of all Glacial Hammer Gems (), +3 to Level of all Void Sphere Gems (), +3 to Level of all Crushing Fist Gems (), +3 to Level of all Dread Banner Gems (), +3 to Level of all Explosive Arrow Gems (), +3 to Level of all Scourge Arrow Gems (), +3 to Level of all General's Cry Gems (), +3 to Level of all Double Strike Gems (), +3 to Level of all Summon Lightning Golem Gems (), +3 to Level of all Blood and Sand Gems (), +3 to Level of all Haste Gems (), +3 to Level of all Convocation Gems (), +3 to Level of all Flame Wall Gems (), +3 to Level of all Rain of Arrows Gems (), +3 to Level of all Manabond Gems (), +3 to Level of all Discharge Gems (), +3 to Level of all Divine Retribution Gems (), +3 to Level of all Storm Call Gems (), +3 to Level of all Discipline Gems (), +3 to Level of all Burning Arrow Gems (), +3 to Level of all Cold Snap Gems (), +3 to Level of all Fire Trap Gems (), +3 to Level of all Spectral Shield Throw Gems (), +3 to Level of all Clarity Gems (), +3 to Level of all Earthquake Gems (), +3 to Level of all Sweep Gems (), +3 to Level of all Cobra Lash Gems (), +3 to Level of all Shield Crush Gems (), +3 to Level of all Animate Guardian Gems (), +3 to Level of all Vortex Gems (), +3 to Level of all Corrupting Fever Gems (), +3 to Level of all Ice Trap Gems (), +3 to Level of all Voltaxic Burst Gems (), +3 to Level of all Hexblast Gems (), +3 to Level of all Perforate Gems (), +3 to Level of all Vampiric Link Gems (), +3 to Level of all Flame Link Gems (), +3 to Level of all Bladestorm Gems (), +3 to Level of all Destructive Link Gems (), +3 to Level of all Boneshatter Gems (), +3 to Level of all Immortal Call Gems (), +3 to Level of all Temporal Rift Gems (), +3 to Level of all Spectral Throw Gems (), +3 to Level of all Orb of Storms Gems (), +3 to Level of all Anger Gems (), +3 to Level of all Hydrosphere Gems (), +3 to Level of all Petrified Blood Gems (), +3 to Level of all Frost Blades Gems (), +3 to Level of all Ethereal Knives Gems (), +3 to Level of all Cleave Gems (), +3 to Level of all Enduring Cry Gems (), +3 to Level of all Blade Blast Gems (), +3 to Level of all Wintertide Brand Gems (), +3 to Level of all Spectral Helix Gems (), +3 to Level of all Pestilent Strike Gems (), +3 to Level of all Soul Link Gems (), +3 to Level of all Blade Flurry Gems (), +3 to Level of all Enfeeble Gems (), +3 to Level of all Sigil of Power Gems (), +3 to Level of all Ball Lightning Gems (), +3 to Level of all Arctic Armour Gems (), +3 to Level of all Blast Rain Gems (), +3 to Level of all Kinetic Bolt Gems (), +3 to Level of all Spark Gems (), +3 to Level of all Frozen Legion Gems (), +3 to Level of all Shock Nova Gems (), +3 to Level of all Blade Vortex Gems (), +3 to Level of all Incinerate Gems (), +3 to Level of all Summon Chaos Golem Gems (), +3 to Level of all Ambush Gems (), +3 to Level of all Reave Gems (), +3 to Level of all Flame Surge Gems (), +3 to Level of all Blade Trap Gems (), +3 to Level of all Ice Shot Gems (), +3 to Level of all Raise Spectre Gems (), +3 to Level of all Hatred Gems (), +3 to Level of all Viper Strike Gems (), +3 to Level of all Protective Link Gems (), +3 to Level of all Punishment Gems (), +3 to Level of all Lightning Strike Gems (), +3 to Level of all Autoexertion Gems (), +3 to Level of all Righteous Fire Gems (), +3 to Level of all Herald of Purity Gems (), +3 to Level of all Shockwave Totem Gems (), +3 to Level of all Herald of Thunder Gems (), +3 to Level of all Winter Orb Gems (), +3 to Level of all Crackling Lance Gems (), +3 to Level of all Temporal Chains Gems (), +3 to Level of all Devouring Totem Gems (), +3 to Level of all Sunder Gems (), +3 to Level of all Splitting Steel Gems (), +3 to Level of all Essence Drain Gems (), +3 to Level of all Tornado Shot Gems (), +3 to Level of all Eye of Winter Gems (), +3 to Level of all Frost Bomb Gems (), +3 to Level of all Wrath Gems (), +3 to Level of all Herald of Ash Gems (), +3 to Level of all Wild Strike Gems (), +3 to Level of all Elemental Weakness Gems (), +3 to Level of all Elemental Hit Gems (), +3 to Level of all Molten Strike Gems (), +3 to Level of all Kinetic Blast Gems (), +3 to Level of all Earthshatter Gems (), +3 to Level of all Berserk Gems (), +3 to Level of all Shattering Steel Gems (), +3 to Level of all Herald of Ice Gems (), +3 to Level of all Lancing Steel Gems (), +3 to Level of all Heavy Strike Gems (), +3 to Level of all Whirling Blades Gems (), +3 to Level of all Flameblast Gems (), +3 to Level of all Storm Brand Gems (), +3 to Level of all Glacial Cascade Gems (), +3 to Level of all Smite Gems (), +3 to Level of all Fireball Gems (), +3 to Level of all Snipe Gems (), +3 to Level of all Lightning Arrow Gems (), +3 to Level of all Lightning Conduit Gems (), +3 to Level of all Bone Offering Gems (), +3 to Level of all Infernal Blow Gems (), +3 to Level of all Arcane Cloak Gems (), +3 to Level of all Molten Shell Gems (), +3 to Level of all Venom Gyre Gems (), +3 to Level of all Firestorm Gems (), +3 to Level of all Herald of Agony Gems (), +3 to Level of all Intuitive Link Gems (), +3 to Level of all Rolling Magma Gems (), +3 to Level of all Tectonic Slam Gems (), +3 to Level of all Stormbind Gems (), +3 to Level of all War Banner Gems (), +3 to Level of all Summon Skeletons Gems (), +3 to Level of all Creeping Frost Gems (), +3 to Level of all Alchemist's Mark Gems (), +3 to Level of all Volatile Dead Gems (), +3 to Level of all Phase Run Gems (), +3 to Level of all Cremation Gems (), +3 to Level of all Tempest Shield Gems (), +3 to Level of all Vigilant Strike Gems (), +3 to Level of all Bear Trap Gems (), +3 to Level of all Galvanic Arrow Gems (), +3 to Level of all Barrage Gems (), +3 to Level of all Pride Gems (), +3 to Level of all Sniper's Mark Gems (), +3 to Level of all Ice Nova Gems (), +3 to Level of all Flesh Offering Gems (), +3 to Level of all Determination Gems (), +3 to Level of all Lightning Spire Trap Gems (), +3 to Level of all Precision Gems (), +3 to Level of all Ice Crash Gems (), +3 to Level of all Malevolence Gems (), +3 to Level of all Power Siphon Gems (), +3 to Level of all Consecrated Path Gems (), +3 to Level of all Ground Slam Gems (), +3 to Level of all Pyroclast Mine Gems (), +3 to Level of all Steelskin Gems (), +3 to Level of all Blood Rage Gems (), +3 to Level of all Freezing Pulse Gems (), +3 to Level of all Desecrate Gems (), +3 to Level of all Dual Strike Gems (), +3 to Level of all Caustic Arrow Gems (), +3 to Level of all Vengeful Cry Gems (), +3 to Level of all Shrapnel Ballista Gems (), +3 to Level of all Conductivity Gems (), +3 to Level of all Siege Ballista Gems (), +3 to Level of all Armageddon Brand Gems (), +3 to Level of all Purity of Elements Gems (), +3 to Level of all Purity of Lightning Gems (), +3 to Level of all Frostblink Gems (), +3 to Level of all Swordstorm Gems (), +3 to Level of all Arcanist Brand Gems (), +3 to Level of all Blazing Salvo Gems (), +3 to Level of all Summon Raging Spirit Gems (), +3 to Level of all Frost Shield Gems (), +3 to Level of all Intimidating Cry Gems (), +3 to Level of all Summon Ice Golem Gems (), +3 to Level of all Forbidden Rite Gems (), +3 to Level of all Summon Reaper Gems (), +3 to Level of all Warlord's Mark Gems (), +3 to Level of all Rejuvenation Totem Gems (), +3 to Level of all Summon Stone Golem Gems (), +3 to Level of all Stormblast Mine Gems (), +3 to Level of all Rage Vortex Gems (), +3 to Level of all Infernal Cry Gems (), +3 to Level of all Storm Rain Gems (), +3 to Level of all Frenzy Gems (), +3 to Level of all Spirit Offering Gems (), +3 to Level of all Explosive Concoction Gems (), +3 to Level of all Reap Gems (), +3 to Level of all Decoy Totem Gems (), +3 to Level of all Lacerate Gems (), +3 to Level of all Searing Bond Gems (), +3 to Level of all Frostbite Gems (), +3 to Level of all Ice Spear Gems (), +3 to Level of all Grace Gems (), +3 to Level of all Wither Gems (), +3 to Level of all Bodyswap Gems (), +3 to Level of all Mirror Arrow Gems (), +3 to Level of all Chain Hook Gems (), +3 to Level of all Brand Recall Gems (), +3 to Level of all Leap Slam Gems (), +3 to Level of all Defiance Banner Gems (), +3 to Level of all Blight Gems (), +3 to Level of all Icicle Mine Gems (), +3 to Level of all Holy Flame Totem Gems (), +3 to Level of all Vulnerability Gems (), +3 to Level of all Unearth Gems (), +3 to Level of all Penance Brand Gems (), +3 to Level of all Eviscerate Gems (), +3 to Level of all Split Arrow Gems (), +3 to Level of all Volcanic Fissure Gems (), +3 to Level of all Summon Skitterbots Gems (), +3 to Level of all Vitality Gems (), +3 to Level of all Soulrend Gems (), +3 to Level of all Lightning Warp Gems (), +3 to Level of all Lightning Trap Gems (), +3 to Level of all Purity of Fire Gems (), +(5-10)% to all Elemental Resistances (), (5-10)% increased Reservation Efficiency of Skills (), Items and Gems have (5-10)% reduced Attribute Requirements ()"
Xoph's Heart,0.06,9,"+(20-30) to Strength (), 25% increased Fire Damage (), +(25-35) to maximum Life (), +(20-40)% to Fire Resistance (), Nearby Enemies are Covered in Ash ()"
Fated End,0.06,9,"+(20-40) to Intelligence (), Curse Skills have (8-12)% increased Cast Speed (), Non-Aura Hexes expire upon reaching (180-220)% of base Effect (), Non-Aura Hexes gain 20% increased Effect per second ()"
Ynda's Stand,0.06,9,"Regenerate (30-50) Life per second (), +(20-30)% to Fire Resistance (), +(20-30)% to Cold Resistance (), Gain Ward instead of (50-60)% of Armour and Evasion Rating from Equipped Body Armour ()"
Replica Tasalio's Sign,0.05,8,"Adds (15-20) to (25-35) Cold Damage to Spells and Attacks (), +(200-300) to Evasion Rating (), Your Cold Damage cannot Freeze (), Immune to Chill (), Adds 60 to 80 Cold Damage against Chilled Enemies ()"
Replica Prismweave,0.05,8,"Adds (14-16) to (30-32) Fire Damage to Spells (), Adds (10-12) to (24-28) Cold Damage to Spells (), Adds 1 to (60-68) Lightning Damage to Spells (), +(6-15)% to all Elemental Resistances (), 30% increased Elemental Damage during any Flask Effect ()"
